aod,lst,soil_moisture,pm10,pm25,O3,NDVI,elevation,surface_pressure
0.369,33.13,0.3965999186038971,18.0,52.0,0.1211141355908999,0.2145841425,1353,83743.8984375
0.542,29.91,0.3860905468463897,40.0,90.0,0.1223540328575989,0.214905605,1353,83749.5859375
0.256,29.89,0.3889342546463012,21.0,56.0,0.1228221634543264,0.2153556525,1353,83583.94921875
0.437,24.93,0.400704026222229,32.0,46.0,0.1226624408971474,0.21538779875,1353,83751.37109375
0.352,27.17,0.3880419731140136,35.0,49.0,0.122196502983513,0.215419945,1353,83838.3046875
0.353,29.65,0.363838642835617,30.0,67.0,0.1238372325896638,0.2134731124999999,1353,83870.796875
0.877,25.63,0.3749174177646637,47.0,101.0,0.1183864176272424,0.18781465,1353,83999.90625
0.646,26.41,0.3674461543560028,36.0,90.0,0.1209402903915229,0.1808168875,1353,84196.3203125
0.582,25.31,0.3646256327629089,31.0,87.0,0.1229606047272544,0.1784843,1353,84303.12890625
0.387,26.03,0.3554690182209015,36.0,82.0,0.1210541207886714,0.17784247875,1353,84021.24609375
0.446,26.03,0.3554690182209015,36.0,82.0,0.1210541207886714,0.17784247875,1353,84021.24609375
0.419,24.67,0.3880838751792907,20.0,63.0,0.1218790484235755,0.1772006575,1353,84225.59375
